epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.342,1.58134,3.00534,2.17908,0.47283,0.47882,0.43537,0.35362,0.96934,1.69486,1.79897,0.0670233,0.000333098,0.000333098
2,547.93,0.88694,1.83124,1.45909,0.58168,0.54306,0.55663,0.48683,0.66642,1.48268,1.35077,0.0340207,0.00066383,0.00066383
3,272.698,0.74032,1.44448,2.01773,0.6442,0.62594,0.66735,0.59592,0.57626,1.11048,1.31165,0.00100779,0.000984217,0.000984217
4,546.211,0.68287,1.29177,1.59605,0.79894,0.71393,0.75721,0.68854,0.51822,0.81061,1.15554,0.000965239,0.000965239,0.000965239
5,822.229,0.63628,1.15593,1.44424,0.86568,0.71656,0.78313,0.70824,0.50949,0.75539,1.14145,0.000938772,0.000938772,0.000938772
6,1103.18,0.60481,1.06714,1.3162,0.88173,0.74313,0.80822,0.74462,0.4581,0.65849,1.09237,0.000905463,0.000905463,0.000905463
7,1372.81,0.58263,1.00002,1.27582,0.91706,0.74248,0.82261,0.76244,0.4478,0.62297,1.05424,0.000865839,0.000865839,0.000865839
8,1645.13,0.56659,0.96037,1.26712,0.91616,0.73855,0.8268,0.76608,0.42603,0.60988,1.02772,0.000820525,0.000820525,0.000820525
9,1921.43,0.54768,0.89495,1.23209,0.91675,0.76694,0.8408,0.78088,0.41981,0.56914,1.01587,0.000770234,0.000770234,0.000770234
10,2201.22,0.53818,0.87257,1.2194,0.92322,0.76902,0.84648,0.78762,0.40601,0.52951,1.00223,0.000715761,0.000715761,0.000715761
11,2473.8,nan,nan,nan,0.92934,0.76697,0.84539,0.79096,nan,nan,nan,0.000657963,0.000657963,0.000657963
12,2785.85,nan,nan,nan,0.64924,0.07407,0.09267,0.0439,nan,nan,nan,0.000597754,0.000597754,0.000597754
13,3088.58,2.87497,190.313,9.17522,0.05,0.00075,0,0,nan,nan,nan,0.000536081,0.000536081,0.000536081
14,3384.66,2.8889,242.44,9.78317,0.00113,0.0293,0.00064,0.00024,nan,nan,nan,0.000473919,0.000473919,0.000473919
15,3833.37,2.8787,295.559,9.7305,0.00765,0.00816,0.00509,0.001,nan,nan,nan,0.000412246,0.000412246,0.000412246
16,4143.42,1.73887,284.208,5.29735,0.00431,0.18155,0.00394,0.00139,nan,nan,nan,0.000352037,0.000352037,0.000352037
17,4440.35,1.72524,308.333,4.5731,0.00414,0.70314,0.02194,0.01016,nan,nan,nan,0.000294239,0.000294239,0.000294239
18,4764.11,1.69099,151.904,4.41531,0.00359,0.71644,0.01815,0.00679,nan,nan,nan,0.000239766,0.000239766,0.000239766
19,5084.53,1.68897,163.454,4.23901,0.00319,0.66382,0.01586,0.00629,nan,nan,nan,0.000189475,0.000189475,0.000189475
20,5392.47,1.6892,174.773,4.24786,0.00412,0.59422,0.02061,0.00799,nan,nan,nan,0.000144161,0.000144161,0.000144161
21,5691.43,1.68044,176.259,4.17918,0.00297,0.74673,0.01944,0.00837,nan,nan,nan,0.000104537,0.000104537,0.000104537
22,5989.69,1.6875,177.24,4.06682,0.00322,0.743,0.02148,0.00939,nan,nan,nan,7.12282e-05,7.12282e-05,7.12282e-05
23,6289.14,1.69232,151.35,4.07094,0.00292,0.70618,0.02121,0.00797,nan,nan,nan,4.47606e-05,4.47606e-05,4.47606e-05
24,6590.53,1.68354,100.292,4.09553,0.00278,0.74153,0.0148,0.00585,nan,nan,nan,2.55513e-05,2.55513e-05,2.55513e-05
25,6892.3,1.68614,100.777,4.07856,0.00282,0.77084,0.01515,0.00658,nan,nan,nan,1.39032e-05,1.39032e-05,1.39032e-05
